mmdd,radarAccum,p10,p90
0127,1.9149016776906524,1.4554946636569583,1.9686021781471328
0128,2.1119494332432702,1.7951196101569302,2.358808961800847
0129,16.39861825151848,13.935399868820328,18.158339948551944
0130,8.609520128246979,7.339754539774127,9.600499731083902
0131,3.0191385918922005,0.8266690462046374,1.088683165903824
0201,1.0536750273324357e-07,5.7181910182657454e-08,1.4481359098989343e-07
0202,0.9148658644563815,0.7315854586479044,0.9857613486383032
0203,0.0699286002392785,0.05553566822134013,0.07478102252993409
0204,0.022830784756373804,0.01844963847739054,0.025834472618208086
0205,0.7980559117939199,0.6685432141816884,0.8705362679131523
0206,0.025306555974420587,0.01851915351344792,0.02532590118911792
0207,0.02577582425730596,0.01971720558411418,0.02927967932323674
0208,1.4002285852467453e-06,9.578863535763374e-07,1.7643886858294383e-06
0209,2.0604150125319205e-08,1.1140351247029531e-08,3.1707193622389704e-08
0210,0.0012832947275613173,0.0010631086144826658,0.0014830933834192295
0211,0.008235115444511974,0.0068114027468668846,0.009965115079335363
0212,0.031735603801991315,0.025504166714776698,0.038424507097452175
0213,0.10820952147794621,0.0872960942773502,0.12683437688577945
0214,0.04321558649315714,0.03119095601972499,0.04845737831693195
0215,0.0017540637605073359,0.0013207688214439358,0.0018998140372527472
0216,2.6680416123624434e-08,1.4311566430315205e-08,3.883408797876874e-08
0217,0.0,0.0,0.0
0218,9.85817271730363e-08,3.9442193823245644e-08,1.0286993593419036e-07
0219,0.0,0.0,0.0
0220,0.0,0.0,0.0
0221,0.0,0.0,0.0
0222,0.00012097259654768024,9.914665005927108e-05,0.00014372810734665587
0223,0.005508390970323497,0.004329137195233447,0.006473152656154067
0224,0.0013539649710903464,0.0011357539100323524,0.00155126105822383
0225,0.009011912439807429,0.006466864556533138,0.00885598434132684
0226,0.06076827503926483,0.04660551558432042,0.06597894246832917
0227,8.024144772517365e-07,5.387155715823484e-07,9.62930113028606e-07
0228,3.0524675852300955,2.5158855491363656,3.334593591669201
0301,0.23272843475081698,0.1933407253674137,0.2724247763088565
0302,0.0,0.0,0.0
0303,0.0,0.0,0.0
0304,0.010950190457745309,0.008867684736728517,0.012420350167026452
0305,0.05131454681519307,0.03895935608627182,0.05531498231275452
0306,6.0764789581331656e-05,4.489259305569172e-05,6.876185385457651e-05
0307,1.1007390941366304e-05,4.932835935389198e-06,1.6654596209069948e-05
0308,0.17267734103404336,0.14489223420639877,0.20491689707933433
0309,0.6906220078704542,0.5729443368648262,0.7814080510494633
0310,0.0,0.0,0.0
0311,0.0,0.0,0.0
0312,0.0,0.0,0.0
0313,2.8148817637326338,2.308272051432384,3.2124630604857467
0314,0.46885479252810414,0.3819852856196345,0.5184018374944067
0315,0.5876419422265658,0.5003666977938266,0.6631455721764712
0316,8.458699097956871e-08,3.1343915836156695e-08,9.351298724806541e-08
0317,0.0002589057354835181,0.0002070348534589829,0.00030102522121557126
0318,0.013570710972574179,0.010927699572930308,0.015384295322035757
0319,0.0044295659356945105,0.003542090234228876,0.005123875024546638
0320,0.0013335463141600614,0.0010256452492753648,0.0016680997667718063
0321,32.17207691901031,11.603346347648106,15.553305736609193
0322,6.226664522929729,5.1754632721062315,6.993517023421833
0323,0.056002223281436225,0.04551700965471213,0.06340937258879473
0324,2.5753993104546934e-09,1.2667438453695262e-09,3.8890470005774815e-09
0325,0.0014519785953032729,0.0011812654943025352,0.0016567676311597594
0326,7.272451121161681,5.576165864181338,7.545898721042937
0403,2.697666356305173,2.1902165438334915,3.088204286978007
0404,0.02529846108320527,0.020688349850488206,0.02985839664129161
0405,0.2073524650033098,0.16525465373226814,0.24664041123158315
0406,2.234401915359693,1.8942030320152063,2.5038486258916466
0407,5.647810843272679e-06,3.505103385170061e-06,6.637851662479601e-06
0408,0.002384885783292105,0.0018405240725601051,0.0026119494378583083
0409,4.901681902503016,4.123743573663896,5.52220268617813
0410,11.757987507112936,9.397041652535934,13.025774502447891
0411,5.744989645809811,4.572047954075829,6.196858669144058
0412,0.09877085800886042,0.07153673109176444,0.09892109303797658
0413,0.04690217454558727,0.03814783717034964,0.05230782942135491
0414,8.08953251077369,6.816142586913853,8.983513054215495
0415,10.418663131863866,8.980226243014476,11.704790771441884
0416,0.08440062094864843,0.06583171720488348,0.09901555891160134
0417,3.77369876617065e-08,1.7702919957368564e-08,4.3292689217164775e-08
0418,0.0,0.0,0.0
0419,1.0328268500236077,0.8611140206283748,1.134739457991611
0420,22.13470622808414,18.36230231543976,24.691024691481054
0421,22.289772761935055,19.375605570088837,25.659142946532207
0422,29.794876210835145,26.02691830006361,33.699336134378996
0423,4.24669962278372,3.5995767500753355,4.802265243038105
0424,12.81016499444089,7.049943713262367,9.741669582638778
0425,18.03856299590642,15.266556692861142,20.2533806116128
0426,13.233973134203934,10.662433848096061,14.496017688404804
0427,4.040627953687307,3.4362103309673238,4.548493432105476
0428,18.565136183223697,16.05157120080369,20.52585072048268
0429,8.715169292878207,7.5007336759257335,9.727630002989466
0430,0.005481681238363706,0.00423512668913707,0.0057547780904996185
0501,0.5376607484014804,0.45721124931859786,0.6149947022401934
0502,0.31615520378970025,0.2563697290678708,0.3443630952884874
0503,0.4271978707223123,0.34857387462377437,0.48336343986289737
0504,2.141705719067182,1.7705664032503028,2.508718643792369
0505,0.0,0.0,0.0
0506,1.7701435713763696e-05,1.2773688852893089e-05,2.0805401687662446e-05
