date,snowfall_accumulation_mm
2025-03-01,0.5665835266876889
2025-03-02,0.067410962464176
2025-03-03,0.005961472105683886
2025-03-04,1.3858364986386283e-05
2025-03-05,2.325183908763355e-05
2025-03-06,0.03078511699464257
2025-03-07,0.0001855879533179925
2025-03-08,0.10740725371587258
2025-03-09,0.00924812409510596
2025-03-10,9.470608824194256e-06
2025-03-11,9.46929507424496e-06
2025-03-12,8.478655196302754e-06
2025-03-13,2.131634788580062
2025-03-14,1.7963170886712907
2025-03-15,0.008896578995473775
2025-03-16,0.3776058594709589
2025-03-17,0.014730978567940738
2025-03-18,9.979062165407916e-06
2025-03-19,1.5671075636450658e-05
2025-03-20,0.4021292353209061
2025-03-21,9.51659573458207e-06
2025-03-22,0.012524989867321581
2025-03-23,0.9896017113526763
2025-03-24,0.11261191161116396
2025-03-25,0.0011825828840628264
2025-03-26,9.717762540008908e-06
2025-03-27,1.1754713524231115e-05
2025-03-28,9.904378877233783e-06
2025-03-29,0.00035645119240553793
2025-03-30,9.882493529137282e-06
2025-03-31,0.638843297683325
